filename,split,agreement
02_0035,train,96.39
02_0036,train,96.84
02_0037,train,96.61
02_0038,train,96.48
02_0039,train,96.38
02_0040,train,96.97
02_0041,train,97.05
02_0042,train,96.81
02_0043,train,96.29
02_0044,train,96.79
02_0045,train,96.88
02_0046,train,96.69
02_0047,train,95.81
02_0048,train,95.54
02_0049,train,96.54
02_0050,train,96.77
02_0051,train,95.19
02_0052,train,95.40
02_0053,train,95.88
02_0054,train,94.85
02_0055,train,96.47
02_0056,train,94.19
02_0057,train,95.46
02_0058,train,94.47
02_0059,train,94.45
02_0060,train,90.14
02_0061,train,92.26
02_0062,train,96.59
02_0063,train,92.63
02_0064,train,90.80
02_0065,train,94.18
02_0066,train,90.97
02_0067,train,91.24
02_0068,train,91.37
02_0069,train,92.94
02_0070,train,88.05
02_0071,train,88.95
02_0072,train,89.05
02_0073,train,92.00
02_0074,train,93.92
02_0075,train,88.17
02_0076,train,90.70
02_0077,train,96.63
02_0078,train,90.00
02_0079,train,88.21
02_0080,train,86.78
03_0001,train,95.38
03_0002,train,95.06
03_0003,train,95.27
03_0004,train,96.87
03_0005,train,96.34
03_0006,train,91.60
03_0007,train,95.65
03_0008,train,95.51
03_0009,train,94.76
03_0010,train,93.76
03_0011,train,94.76
03_0012,train,92.02
03_0013,train,94.07
03_0014,train,95.27
03_0015,train,96.03
03_0016,train,97.04
03_0017,train,94.01
03_0018,train,92.84
03_0019,train,94.62
03_0020,train,97.41
03_0021,train,97.51
03_0022,train,97.51
03_0023,train,96.25
03_0024,train,96.06
03_0025,train,95.88
03_0026,train,96.32
03_0027,train,96.53
03_0029,train,96.71
03_0030,train,96.69
03_0031,train,96.89
03_0032,train,97.22
03_0033,train,96.86
03_0034,train,96.65
03_0035,train,96.47
03_0036,train,96.77
03_0037,train,97.24
03_0038,train,97.16
03_0039,train,96.64
03_0040,train,96.14
03_0041,train,97.07
03_0042,train,97.53
03_0043,train,95.46
03_0044,train,96.61
03_0045,train,97.13
03_0046,train,97.83
03_0047,train,91.93
03_0048,train,93.59
03_0049,train,95.76
03_0050,train,95.44
03_0051,train,94.75
03_0052,train,96.56
03_0053,train,96.50
03_0054,train,97.14
03_0055,train,96.95
03_0056,train,95.37
03_0057,train,96.90
03_0058,train,97.64
03_0059,train,97.20
03_0060,train,95.79
03_0061,train,95.74
03_0062,train,95.28
03_0063,train,93.30
03_0064,train,94.18
03_0065,train,95.67
03_0066,train,93.98
03_0067,train,95.06
03_0068,train,91.37
03_0069,train,93.66
03_0070,train,94.59
03_0071,train,92.52
03_0072,train,92.83
03_0073,train,92.41
03_0074,train,93.67
03_0075,train,84.11
03_0076,train,93.74
03_0077,train,95.64
03_0078,train,87.78
03_0079,train,89.58
03_0080,train,92.21
04_0001,train,88.91
04_0002,train,88.30
04_0003,train,89.97
04_0004,train,95.08
04_0005,train,94.16
04_0006,train,94.63
04_0007,train,94.76
04_0008,train,95.08
04_0009,train,95.68
04_0010,train,93.58
04_0011,train,95.86
04_0012,train,95.18
04_0013,train,96.14
04_0014,train,95.28
04_0015,train,95.31
04_0016,train,94.77
04_0017,train,93.69
04_0018,train,95.87
04_0019,train,92.14
04_0020,train,88.79
04_0021,train,92.84
04_0022,train,91.51
04_0023,train,88.86
04_0024,train,90.16
04_0025,train,90.60
04_0026,train,92.13
04_0027,train,92.71
04_0028,train,91.34
04_0029,train,94.74
04_0030,train,94.58
04_0031,train,95.91
04_0032,train,94.03
04_0033,train,88.63
04_0034,train,97.42
04_0035,train,91.67
04_0036,train,94.62
04_0037,train,90.49
04_0038,train,92.08
04_0039,train,93.78
04_0040,train,90.52
04_0041,train,90.33
04_0042,train,87.60
04_0043,train,96.00
04_0044,train,92.32
04_0045,train,91.94
04_0046,train,97.35
04_0047,train,92.25
04_0048,train,93.82
04_0049,train,93.00
04_0050,train,94.88
04_0051,train,95.44
04_0052,train,93.40
04_0054,train,91.20
04_0055,train,92.82
04_0056,train,94.43
04_0057,train,92.42
04_0058,train,95.02
04_0059,train,95.00
04_0060,train,94.99
04_0061,train,89.62
04_0062,train,92.86
04_0063,train,91.00
04_0064,train,95.75
04_0065,train,96.13
04_0066,train,91.19
04_0067,train,88.64
04_0068,train,89.34
04_0069,train,90.62
04_0070,train,90.96
04_0071,train,92.35
04_0072,train,85.44
04_0074,train,83.45
04_0075,train,80.67
04_0078,train,82.53
04_0079,train,93.92
04_0080,train,92.28
06_0001,train,91.27
06_0002,train,90.93
06_0003,train,91.93
06_0004,train,90.24
06_0005,train,88.25
06_0006,train,93.58
06_0007,train,88.85
06_0008,train,90.15
06_0009,train,93.60
06_0010,train,89.99
06_0011,train,92.89
06_0012,train,88.23
06_0013,train,93.04
06_0014,train,93.21
06_0015,train,93.22
06_0016,train,91.60
06_0017,train,89.87
06_0018,train,92.42
06_0019,train,92.48
06_0020,train,95.43
06_0021,train,96.26
06_0022,train,96.96
06_0023,train,95.60
06_0024,train,92.63
06_0025,train,95.40
06_0026,train,95.13
06_0027,train,93.93
06_0028,train,93.09
06_0029,train,95.04
06_0030,train,95.17
06_0031,train,96.10
06_0032,train,96.97
06_0033,train,93.52
06_0034,train,95.83
06_0035,train,94.71
06_0036,train,96.39
06_0037,train,95.77
06_0038,train,94.22
06_0039,train,94.61
06_0040,train,94.47
06_0041,train,95.22
06_0042,train,92.76
06_0043,train,94.70
06_0044,train,94.26
06_0045,train,91.83
06_0046,train,91.05
06_0047,train,88.66
06_0048,train,89.59
06_0053,train,83.10
06_0054,train,86.19
06_0055,train,90.02
06_0056,train,90.76
06_0057,train,86.12
06_0058,train,89.11
06_0059,train,89.01
06_0060,train,92.16
06_0061,train,90.82
06_0062,train,90.12
06_0063,train,88.20
06_0064,train,88.40
06_0065,train,81.19
06_0066,train,83.70
06_0067,train,94.17
06_0068,train,84.20
06_0069,train,80.37
06_0071,train,86.43
06_0072,train,90.74
06_0073,train,89.18
06_0074,train,90.22
06_0075,train,87.37
06_0076,train,88.85
06_0077,train,90.63
06_0078,train,84.96
06_0079,train,81.32
06_0080,train,84.76
10_0001,train,94.74
10_0002,train,93.36
10_0003,train,90.36
10_0004,train,93.73
10_0005,train,88.94
10_0006,train,94.66
10_0007,train,97.89
10_0008,train,92.84
10_0009,train,88.83
10_0010,train,92.60
10_0011,train,96.78
10_0012,train,92.39
10_0013,train,95.95
10_0014,train,92.95
10_0015,train,92.31
10_0016,train,95.04
10_0017,train,96.24
10_0018,train,95.26
10_0019,train,97.66
10_0020,train,96.93
10_0021,train,97.46
10_0022,train,93.14
10_0023,train,91.86
10_0024,train,97.77
10_0025,train,93.45
10_0026,train,92.84
10_0027,train,92.27
10_0028,train,96.03
10_0029,train,96.60
10_0030,train,85.88
10_0031,train,96.51
10_0032,train,97.51
10_0033,train,94.71
10_0034,train,94.20
10_0035,train,95.22
10_0036,train,96.42
10_0037,train,95.89
10_0038,train,96.67
10_0039,train,93.02
10_0040,train,93.98
10_0041,train,95.45
10_0042,train,97.48
10_0043,train,93.82
10_0044,train,83.80
10_0045,train,96.58
10_0046,train,95.55
10_0047,train,93.42
10_0048,train,92.85
10_0049,train,88.47
10_0050,train,86.85
10_0051,train,92.11
10_0052,train,92.94
10_0053,train,93.21
10_0054,train,87.15
10_0055,train,95.70
10_0056,train,95.35
10_0057,train,95.57
10_0058,train,91.84
10_0059,train,90.87
10_0060,train,93.21
10_0061,train,94.41
10_0062,train,90.32
10_0063,train,90.39
10_0064,train,89.99
10_0065,train,90.23
10_0066,train,90.27
10_0067,train,88.92
10_0068,train,88.46
10_0069,train,88.29
10_0070,train,89.00
10_0071,train,92.76
10_0072,train,91.94
10_0074,train,94.22
10_0075,train,91.71
10_0076,train,93.72
10_0077,train,95.96
10_0078,train,89.80
10_0079,train,91.90
10_0080,train,91.17
11_0001,train,92.10
11_0002,train,92.93
11_0003,train,91.57
11_0004,train,93.82
11_0006,train,88.03
11_0009,train,91.64
11_0010,train,84.44
11_0011,train,94.38
11_0012,train,93.80
11_0013,train,94.14
11_0014,train,94.71
11_0015,train,94.88
11_0016,train,94.10
11_0017,train,93.80
11_0018,train,93.79
11_0019,train,93.62
11_0020,train,90.10
11_0021,train,92.87
11_0022,train,89.59
11_0023,train,92.17
11_0024,train,91.25
11_0025,train,90.85
11_0026,train,94.03
11_0027,train,92.78
11_0028,train,92.35
11_0029,train,94.91
11_0030,train,95.11
11_0031,train,95.56
11_0032,train,94.89
11_0033,train,94.81
11_0034,train,95.49
11_0035,train,93.81
11_0036,train,93.95
11_0037,train,94.49
11_0038,train,94.27
11_0039,train,93.93
11_0040,train,95.50
11_0041,train,95.03
11_0042,train,95.86
11_0043,train,92.36
11_0044,train,95.03
11_0045,train,95.49
11_0046,train,95.48
11_0047,train,93.30
11_0048,train,94.95
11_0049,train,92.99
11_0050,train,89.37
11_0051,train,94.78
11_0052,train,94.55
11_0053,train,90.29
11_0054,train,91.34
11_0055,train,96.59
11_0056,train,96.15
11_0057,train,94.31
11_0058,train,88.68
11_0059,train,85.14
11_0060,train,84.87
11_0061,train,86.27
11_0062,train,86.40
11_0063,train,81.96
11_0064,train,84.18
11_0065,train,84.96
11_0066,train,82.13
11_0067,train,82.84
11_0068,train,82.60
11_0069,train,81.49
11_0070,train,81.77
11_0071,train,81.07
11_0072,train,82.48
11_0073,train,82.24
11_0074,train,85.50
11_0076,train,92.35
11_0077,train,96.25
11_0078,train,96.43
11_0079,train,96.22
11_0080,train,91.87
12_0001,train,96.14
12_0002,train,96.86
12_0003,train,96.93
12_0004,train,95.46
12_0005,train,94.39
12_0006,train,97.13
12_0007,train,96.84
12_0008,train,96.57
12_0009,train,92.72
12_0010,train,94.00
12_0011,train,96.51
12_0012,train,96.91
12_0013,train,95.48
12_0014,train,92.88
12_0015,train,94.80
12_0016,train,91.54
12_0017,train,93.85
12_0018,train,93.64
12_0019,train,91.51
12_0020,train,93.90
12_0021,train,91.69
12_0022,train,91.13
12_0023,train,89.58
12_0024,train,87.15
12_0025,train,85.48
12_0026,train,85.32
12_0028,train,95.77
12_0029,train,93.98
12_0030,train,93.93
12_0031,train,93.76
12_0032,train,96.06
12_0033,train,96.33
12_0034,train,95.08
12_0035,train,94.66
12_0036,train,93.12
12_0037,train,91.91
12_0038,train,90.98
12_0039,train,93.64
12_0040,train,91.90
12_0041,train,91.89
12_0042,train,93.27
12_0043,train,94.54
12_0044,train,93.07
12_0045,train,95.42
12_0046,train,94.82
12_0047,train,94.85
12_0048,train,94.95
12_0049,train,95.48
12_0050,train,96.56
12_0051,train,94.58
12_0052,train,91.36
12_0053,train,91.13
12_0054,train,90.29
12_0055,train,90.26
12_0056,train,90.70
12_0057,train,93.94
12_0058,train,93.68
12_0059,train,92.03
12_0060,train,91.72
12_0061,train,95.21
12_0062,train,96.43
12_0063,train,94.70
12_0064,train,91.56
12_0065,train,93.65
12_0066,train,95.16
12_0067,train,93.17
12_0068,train,86.36
12_0069,train,91.01
12_0070,train,92.72
12_0071,train,91.50
12_0072,train,90.27
12_0073,train,90.45
12_0074,train,96.54
12_0075,train,92.04
12_0076,train,93.27
12_0077,train,95.87
12_0078,train,87.81
12_0079,train,93.14
12_0080,train,89.09
13_0001,train,92.73
13_0002,train,91.78
13_0003,train,93.90
13_0004,train,95.50
13_0005,train,91.83
13_0006,train,94.79
13_0007,train,95.40
13_0008,train,95.36
13_0009,train,93.43
13_0010,train,95.53
13_0011,train,95.46
13_0012,train,95.78
13_0013,train,95.75
13_0014,train,93.15
13_0015,train,95.40
13_0016,train,93.86
13_0017,train,93.46
13_0018,train,92.69
13_0019,train,89.41
13_0020,train,93.88
13_0021,train,93.77
13_0022,train,92.04
13_0023,train,94.15
13_0024,train,89.50
13_0025,train,88.20
13_0026,train,93.63
13_0027,train,94.67
13_0028,train,92.20
13_0029,train,95.75
13_0030,train,93.98
13_0031,train,91.27
13_0032,train,93.89
13_0033,train,95.62
13_0034,train,94.45
13_0035,train,92.50
13_0036,train,80.01
13_0037,train,95.36
13_0038,train,94.13
13_0039,train,92.46
13_0040,train,95.45
15_0001,train,95.19
15_0002,train,93.40
15_0003,train,95.20
15_0004,train,95.81
15_0005,train,95.34
15_0006,train,94.65
15_0007,train,95.79
15_0008,train,94.65
15_0009,train,94.92
15_0010,train,93.83
15_0011,train,93.20
15_0012,train,93.65
15_0013,train,93.60
15_0014,train,94.34
15_0015,train,92.91
15_0016,train,88.21
15_0017,train,91.78
15_0018,train,91.47
15_0019,train,81.23
15_0020,train,83.05
15_0021,train,93.42
15_0022,train,80.29
15_0024,train,91.39
15_0025,train,87.84
15_0026,train,89.29
15_0027,train,80.96
15_0028,train,91.30
15_0029,train,90.86
15_0030,train,91.58
15_0031,train,92.95
15_0032,train,91.47
15_0033,train,94.88
15_0034,train,94.39
15_0035,train,93.69
15_0036,train,94.62
15_0037,train,94.84
15_0038,train,91.31
15_0039,train,96.00
15_0040,train,97.02
15_0041,train,96.16
15_0042,train,96.82
15_0043,train,97.36
15_0044,train,97.18
15_0045,train,97.40
15_0046,train,97.47
15_0047,train,97.75
15_0048,train,96.16
15_0049,train,97.33
15_0050,train,96.38
15_0051,train,95.77
15_0052,train,95.65
15_0053,train,97.19
15_0054,train,97.57
15_0055,train,97.05
15_0056,train,97.61
15_0057,train,97.05
15_0058,train,97.26
15_0059,train,96.73
15_0060,train,96.67
15_0061,train,97.46
15_0062,train,98.10
15_0063,train,94.43
15_0064,train,91.39
15_0065,train,91.04
15_0066,train,87.62
15_0067,train,87.52
15_0068,train,97.73
15_0069,train,90.30
15_0070,train,89.26
15_0071,train,87.67
15_0072,train,90.42
15_0073,train,93.40
15_0074,train,88.45
15_0075,train,88.92
15_0076,train,89.47
15_0077,train,91.54
15_0078,train,92.45
15_0079,train,90.93
15_0080,train,92.68
16_0001,train,98.07
16_0002,train,97.60
16_0003,train,97.40
16_0004,train,95.53
16_0005,train,92.18
16_0006,train,87.37
16_0007,train,96.67
16_0008,train,97.27
16_0009,train,97.89
16_0010,train,88.36
16_0011,train,94.09
16_0012,train,93.51
16_0013,train,95.36
16_0014,train,80.13
16_0015,train,82.26
16_0017,train,80.01
16_0025,train,89.76
16_0027,train,84.16
16_0028,train,85.84
16_0030,train,80.46
16_0032,train,80.83
16_0033,train,93.07
16_0036,train,88.41
16_0037,train,88.46
16_0038,train,85.05
16_0039,train,87.98
16_0040,train,85.64
16_0041,train,89.17
16_0042,train,85.38
16_0043,train,83.33
16_0046,train,90.17
16_0047,train,91.29
16_0048,train,80.32
16_0049,train,87.02
16_0050,train,94.63
16_0051,train,82.29
16_0052,train,93.11
16_0053,train,92.23
16_0054,train,89.59
16_0055,train,82.95
16_0056,train,92.04
16_0057,train,84.97
16_0058,train,94.85
16_0059,train,80.77
16_0060,train,93.33
16_0061,train,93.48
16_0062,train,93.84
16_0063,train,95.54
16_0064,train,95.57
16_0065,train,97.20
16_0066,train,94.33
16_0067,train,96.85
16_0068,train,95.32
18_0001,train,92.06
18_0002,train,97.80
18_0003,train,98.68
18_0004,train,99.72
18_0005,train,96.55
18_0006,train,96.15
18_0007,train,94.01
18_0008,train,96.72
18_0009,train,94.53
18_0010,train,96.70
18_0011,train,96.48
18_0012,train,94.01
18_0013,train,93.82
18_0014,train,92.75
18_0015,train,88.07
18_0017,train,85.43
18_0018,train,92.67
18_0019,train,91.75
18_0020,train,90.19
18_0021,train,90.01
18_0022,train,87.64
18_0023,train,90.07
18_0024,train,88.47
18_0025,train,89.68
18_0026,train,96.42
18_0027,train,95.42
18_0028,train,87.44
18_0029,train,81.82
18_0030,train,89.21
18_0031,train,94.38
18_0032,train,92.48
18_0033,train,94.40
18_0034,train,97.13
18_0035,train,95.30
18_0036,train,94.25
18_0037,train,88.55
18_0038,train,91.13
18_0039,train,91.89
18_0040,train,93.65
18_0041,train,89.48
18_0042,train,85.35
18_0043,train,90.52
18_0044,train,91.94
18_0045,train,92.38
18_0046,train,92.65
18_0047,train,91.03
18_0048,train,92.31
18_0049,train,91.35
18_0050,train,92.30
18_0051,train,90.56
18_0052,train,90.93
18_0053,train,89.22
18_0054,train,90.34
18_0055,train,88.04
18_0056,train,88.86
18_0057,train,86.43
18_0058,train,86.74
18_0059,train,93.08
18_0060,train,92.86
18_0061,train,92.59
18_0062,train,93.02
18_0063,train,92.97
18_0064,train,91.68
18_0065,train,85.70
18_0066,train,89.11
18_0067,train,91.58
18_0068,train,93.99
18_0069,train,93.48
18_0070,train,95.74
18_0071,train,96.95
18_0072,train,97.85
18_0073,train,96.66
18_0074,train,94.26
18_0075,train,96.58
18_0076,train,97.33
18_0077,train,97.37
18_0078,train,81.88
18_0079,train,92.79
18_0080,train,93.59
19_0001,train,84.74
19_0002,train,83.02
19_0003,train,80.88
19_0004,train,86.12
19_0005,train,88.00
19_0006,train,89.62
19_0007,train,89.17
19_0008,train,90.44
19_0009,train,91.22
19_0011,train,90.49
19_0012,train,90.18
19_0013,train,93.64
19_0014,train,92.49
19_0015,train,93.12
19_0016,train,92.91
19_0017,train,80.88
19_0020,train,83.05
19_0021,train,92.34
19_0023,train,92.45
19_0024,train,92.50
19_0025,train,90.34
19_0026,train,88.20
19_0027,train,86.52
19_0028,train,85.21
19_0029,train,90.88
19_0030,train,91.00
19_0031,train,90.78
19_0032,train,88.11
19_0033,train,89.81
19_0034,train,90.03
19_0035,train,91.16
19_0036,train,87.55
19_0037,train,87.49
19_0038,train,87.28
19_0039,train,86.13
19_0040,train,90.70
19_0041,train,91.62
19_0042,train,92.71
19_0043,train,90.87
19_0044,train,96.04
19_0045,train,96.15
19_0046,train,95.92
19_0047,train,83.36
19_0048,train,82.86
19_0049,train,95.90
19_0050,train,82.22
19_0051,train,95.07
19_0052,train,93.52
19_0053,train,91.18
19_0054,train,93.80
19_0055,train,94.82
19_0056,train,90.56
19_0057,train,84.27
19_0058,train,81.98
19_0059,train,81.58
19_0060,train,88.47
19_0061,train,90.36
19_0062,train,92.01
19_0063,train,86.42
19_0069,train,82.80
19_0070,train,85.59
19_0071,train,85.18
19_0072,train,91.47
19_0073,train,89.23
19_0075,train,80.73
19_0076,train,83.54
19_0077,train,80.25
19_0078,train,86.32
19_0079,train,84.69
20_0001,train,84.10
20_0002,train,82.46
20_0003,train,82.56
20_0004,train,83.80
20_0005,train,87.01
20_0006,train,96.47
20_0007,train,91.81
20_0008,train,96.01
20_0009,train,94.42
20_0012,train,84.04
20_0014,train,95.56
20_0015,train,87.79
20_0017,train,84.18
20_0018,train,85.20
20_0020,train,95.12
20_0025,train,88.09
20_0026,train,85.83
20_0031,train,96.51
20_0032,train,91.63
20_0033,train,86.28
20_0034,train,87.70
20_0036,train,87.85
20_0037,train,92.12
20_0038,train,92.40
20_0040,train,90.63
20_0041,train,97.15
20_0042,train,95.31
20_0044,train,85.99
20_0045,train,87.12
20_0050,train,95.21
20_0051,train,80.19
20_0052,train,82.01
20_0057,train,82.91
20_0062,train,95.78
20_0063,train,89.18
20_0064,train,93.92
20_0069,train,81.90
20_0070,train,89.83
20_0072,train,80.13
20_0075,train,85.55
20_0076,train,91.88
20_0077,train,95.68
21_0001,train,95.43
21_0002,train,95.86
21_0003,train,96.25
21_0004,train,96.97
21_0005,train,96.56
21_0006,train,96.49
21_0007,train,94.89
21_0008,train,96.16
21_0009,train,95.83
21_0010,train,94.16
21_0011,train,95.17
21_0012,train,94.63
21_0013,train,95.41
21_0014,train,96.02
21_0015,train,96.22
21_0016,train,95.50
21_0017,train,96.78
21_0018,train,97.01
21_0019,train,97.01
21_0020,train,95.71
21_0021,train,97.14
21_0022,train,96.14
21_0023,train,94.04
21_0024,train,93.44
21_0025,train,93.22
21_0026,train,96.21
21_0027,train,96.01
21_0028,train,95.92
21_0029,train,96.40
21_0030,train,96.02
21_0031,train,95.96
21_0032,train,96.23
21_0033,train,96.04
21_0034,train,95.90
21_0035,train,96.02
21_0036,train,96.01
21_0037,train,96.71
21_0038,train,96.63
21_0039,train,94.85
21_0040,train,94.50
21_0041,train,93.96
21_0042,train,95.42
21_0043,train,93.66
21_0044,train,93.93
21_0045,train,95.59
21_0046,train,94.23
21_0047,train,95.77
21_0048,train,92.66
21_0049,train,95.64
21_0050,train,92.91
21_0051,train,89.89
21_0052,train,95.89
21_0053,train,93.18
21_0054,train,91.33
21_0055,train,91.30
21_0056,train,93.49
21_0057,train,92.66
21_0058,train,94.86
21_0059,train,92.56
21_0060,train,92.94
21_0061,train,96.12
21_0062,train,89.28
21_0063,train,96.15
21_0064,train,96.26
21_0065,train,96.26
21_0066,train,92.78
21_0067,train,89.90
21_0068,train,91.78
21_0069,train,89.07
21_0070,train,87.99
21_0071,train,85.98
21_0072,train,84.04
21_0073,train,89.73
21_0074,train,92.55
22_0001,train,97.98
22_0002,train,96.97
22_0003,train,96.71
22_0004,train,96.34
22_0005,train,96.13
22_0006,train,96.32
22_0007,train,96.72
22_0008,train,95.35
22_0009,train,95.92
22_0010,train,93.19
22_0011,train,93.80
22_0012,train,92.62
22_0013,train,95.39
22_0014,train,96.36
22_0015,train,96.33
22_0016,train,93.76
22_0017,train,94.49
22_0018,train,94.13
22_0019,train,90.24
22_0020,train,91.94
22_0021,train,91.32
22_0022,train,92.25
22_0023,train,90.13
22_0024,train,85.91
22_0025,train,86.17
22_0026,train,92.61
22_0027,train,93.58
22_0028,train,95.17
22_0029,train,96.57
22_0030,train,96.84
22_0031,train,96.33
22_0032,train,95.68
22_0033,train,96.39
22_0034,train,92.31
22_0035,train,95.72
22_0036,train,95.80
22_0037,train,97.61
22_0038,train,96.71
22_0039,train,97.41
22_0040,train,98.13
22_0041,train,97.68
22_0042,train,97.33
22_0043,train,96.98
22_0044,train,97.56
22_0045,train,97.11
22_0046,train,97.01
22_0047,train,95.53
22_0048,train,95.56
22_0049,train,97.89
22_0050,train,96.65
22_0051,train,97.43
22_0052,train,95.33
22_0053,train,95.04
22_0054,train,97.75
22_0055,train,97.44
22_0056,train,97.10
22_0057,train,97.03
22_0058,train,96.43
22_0059,train,93.98
22_0060,train,93.81
22_0061,train,97.24
22_0062,train,96.60
22_0063,train,95.42
22_0064,train,95.96
22_0065,train,92.90
22_0066,train,90.60
22_0067,train,93.01
22_0068,train,92.27
22_0069,train,93.90
22_0070,train,92.44
22_0071,train,93.32
22_0072,train,94.16
22_0073,train,90.78
22_0074,train,93.62
22_0075,train,82.68
22_0076,train,94.74
22_0077,train,97.10
22_0078,train,94.85
22_0079,train,93.87
22_0080,train,93.32
23_0001,train,95.01
23_0002,train,94.39
23_0003,train,94.01
23_0004,train,95.39
23_0005,train,95.77
23_0006,train,96.22
23_0007,train,95.11
23_0008,train,94.84
23_0009,train,94.42
23_0010,train,93.24
23_0011,train,92.73
23_0012,train,93.78
23_0013,train,93.70
23_0014,train,94.95
23_0015,train,93.24
23_0016,train,94.20
23_0017,train,93.44
23_0018,train,88.19
23_0019,train,92.10
23_0020,train,91.65
23_0021,train,91.24
23_0022,train,85.33
23_0023,train,88.34
23_0024,train,89.37
23_0025,train,87.49
23_0026,train,89.84
23_0027,train,91.76
23_0028,train,94.38
23_0029,train,95.59
23_0030,train,96.71
23_0031,train,96.18
23_0032,train,92.81
23_0033,train,96.18
23_0034,train,90.71
23_0035,train,86.54
23_0036,train,90.66
23_0037,train,95.02
23_0038,train,96.07
23_0039,train,97.67
23_0040,train,94.41
23_0041,train,92.31
23_0042,train,87.86
23_0043,train,91.92
23_0044,train,90.68
23_0045,train,91.13
23_0046,train,93.93
23_0047,train,94.40
23_0048,train,95.52
23_0049,train,92.54
23_0050,train,91.25
23_0051,train,93.72
23_0052,train,95.61
23_0053,train,95.91
23_0054,train,96.91
23_0055,train,96.81
23_0056,train,96.43
23_0057,train,94.63
23_0058,train,91.56
23_0059,train,91.28
23_0060,train,94.62
23_0061,train,94.77
23_0062,train,95.03
23_0063,train,94.52
23_0064,train,91.91
23_0065,train,95.60
23_0066,train,93.10
23_0067,train,93.61
23_0068,train,93.38
23_0069,train,92.46
23_0070,train,91.79
23_0071,train,95.83
23_0072,train,94.78
23_0073,train,94.65
23_0074,train,95.85
23_0075,train,92.92
23_0076,train,96.57
23_0077,train,92.60
23_0078,train,93.30
23_0079,train,93.87
23_0080,train,88.13
24_0001,train,93.42
24_0002,train,90.87
24_0003,train,87.76
24_0004,train,90.10
24_0005,train,90.75
24_0006,train,88.15
24_0007,train,85.34
24_0008,train,92.17
24_0009,train,93.29
24_0010,train,91.60
24_0011,train,89.12
24_0012,train,90.60
24_0013,train,92.97
24_0014,train,93.60
24_0015,train,94.44
24_0016,train,93.05
24_0017,train,93.88
24_0018,train,95.63
24_0019,train,94.99
24_0020,train,95.85
24_0021,train,90.36
24_0022,train,94.46
24_0023,train,82.50
24_0024,train,92.91
24_0025,train,91.96
24_0026,train,95.48
24_0027,train,94.64
24_0028,train,93.80
24_0029,train,96.56
24_0030,train,94.46
24_0031,train,96.44
24_0032,train,96.47
24_0033,train,93.33
24_0034,train,95.22
24_0035,train,96.63
24_0036,train,96.16
24_0037,train,94.04
24_0038,train,93.73
24_0039,train,95.34
24_0040,train,94.98
24_0041,train,95.36
24_0042,train,91.73
24_0043,train,91.36
24_0044,train,85.77
24_0045,train,94.06
24_0046,train,95.96
24_0047,train,91.06
24_0048,train,92.23
24_0049,train,94.51
24_0050,train,94.67
24_0051,train,93.61
24_0052,train,94.78
24_0053,train,94.53
24_0054,train,93.75
24_0055,train,92.88
